lon;lat
10.939785;-83.967454
10.984941;-83.966993
11.030098;-83.966531
10.081364;-83.930253
10.126521;-83.929824
10.171679;-83.929393
10.216836;-83.928960
10.261992;-83.928525
10.307149;-83.928089
10.352306;-83.927650
10.397462;-83.927209
10.442618;-83.926766
10.487775;-83.926321
10.532931;-83.925874
10.578086;-83.925425
10.623242;-83.924974
10.668398;-83.924521
10.713553;-83.924066
10.758708;-83.923608
10.803863;-83.923149
10.849018;-83.922688
10.894173;-83.922225
10.939328;-83.921760
10.984482;-83.921292
11.029636;-83.920823
10.080937;-83.884686
10.126092;-83.884251
10.171248;-83.883814
10.216403;-83.883374
10.261558;-83.882933
10.306712;-83.882490
10.351867;-83.882044
10.397021;-83.881597
10.442176;-83.881147
10.487330;-83.880696
10.532484;-83.880242
10.577638;-83.879787
10.622792;-83.879329
10.667945;-83.878869
10.713099;-83.878407
10.758252;-83.877943
10.803405;-83.877477
10.848558;-83.877009
10.893711;-83.876539
10.938863;-83.876067
10.984016;-83.875593
11.029168;-83.875117
10.080504;-83.839121
10.125657;-83.838680
10.170810;-83.838236
10.215963;-83.837790
10.261116;-83.837343
10.306269;-83.836893
10.351422;-83.836441
10.396574;-83.835987
10.441727;-83.835531
10.486879;-83.835073
10.532031;-83.834613
10.577183;-83.834151
10.622334;-83.833686
10.667486;-83.833220
10.712637;-83.832751
10.757789;-83.832280
10.802940;-83.831808
10.848091;-83.831333
10.893242;-83.830856
10.938392;-83.830377
10.983543;-83.829896
11.028693;-83.829412
10.080064;-83.793558
10.125216;-83.793111
10.170367;-83.792661
10.215518;-83.792209
10.260669;-83.791755
10.305819;-83.791298
10.350970;-83.790840
10.396121;-83.790380
10.441271;-83.789917
10.486421;-83.789452
10.531571;-83.788985
10.576721;-83.788517
10.621871;-83.788045
10.667020;-83.787572
10.712170;-83.787097
10.757319;-83.786620
10.802468;-83.786140
10.847617;-83.785658
10.892766;-83.785175
10.937915;-83.784689
10.983063;-83.784201
11.028211;-83.783710
10.079618;-83.747998
10.124768;-83.747544
10.169917;-83.747087
10.215066;-83.746629
10.260215;-83.746168
10.305363;-83.745706
10.350512;-83.745241
10.395660;-83.744774
10.440809;-83.744305
10.485957;-83.743834
10.531105;-83.743360
10.576253;-83.742885
10.621400;-83.742407
10.666548;-83.741927
10.711695;-83.741445
10.756842;-83.740961
10.801990;-83.740475
10.847136;-83.739986
10.892283;-83.739495
10.937430;-83.739003
10.982576;-83.738508
11.027723;-83.738010
10.079166;-83.702439
10.124314;-83.701979
10.169461;-83.701516
10.214608;-83.701051
10.259754;-83.700584
10.304901;-83.700115
10.350047;-83.699644
10.395194;-83.699171
10.440340;-83.698695
10.485486;-83.698217
10.530632;-83.697737
10.575778;-83.697255
